Originals;0.0
LeftEyeBrow;0.07357297037026417
RightyeBrow;0.07434455528346344
LeftEye;0.10478834979583404
RightEye;0.10721968052880097
Nose;0.04970891148718202
Mouth;0.021301186938265
UpperLip;0.01940651666586025
LowerLip;0.03460963835494346
Nasal;0.058416565816312715
LeftOrbital;0.06654045074924107
RightOrbital;0.0697530558478566
Mental;0.011501831728631444
LeftBuccal;0.016533199786095642
RightBuccal;0.020226807656429428
LeftZygoInfraParo;0.021146010406139976
RightZygoInfraParo;0.02321771153699106
